age,age_group,job,salary,marital,education,targeted,default,balance,housing,loan,response,,,Marital,Response rate (%)
50,5,unemployed,8000,married,secondary,yes,no,3674,yes,no,1,,,,
29,2,self-employed,60000,single,tertiary,no,no,579,no,no,0,,,,
39,3,unemployed,8000,single,secondary,yes,no,356,yes,no,0,,,,
51,5,blue-collar,20000,married,secondary,yes,no,1374,yes,no,0,,,,
35,3,blue-collar,20000,married,secondary,yes,no,698,yes,yes,1,,,,
32,3,admin.,50000,divorced,tertiary,no,no,-127,yes,no,0,,,,
39,3,management,100000,married,tertiary,yes,no,564,yes,no,0,,,,
43,4,management,100000,single,tertiary,no,no,690,yes,no,0,,,,
38,3,management,100000,married,tertiary,yes,no,2548,yes,no,0,,,,
45,4,management,100000,married,tertiary,yes,no,2022,no,no,0,,,,
43,4,admin.,50000,divorced,secondary,yes,no,729,yes,no,0,,,,
52,5,management,100000,married,tertiary,yes,no,1065,yes,yes,0,,,,
40,4,admin.,50000,single,secondary,yes,no,2002,yes,no,0,,,,
35,3,student,4000,single,secondary,yes,no,2960,yes,no,0,,,,
44,4,blue-collar,20000,married,secondary,yes,no,3224,yes,no,0,,,,
42,4,admin.,50000,divorced,secondary,yes,no,435,yes,no,0,,,,
29,2,blue-collar,20000,married,primary,yes,no,200,yes,no,0,,,,
51,5,technician,60000,divorced,secondary,yes,no,468,yes,no,0,,,,
41,4,housemaid,16000,married,tertiary,yes,no,783,yes,no,0,,,,
54,5,self-employed,60000,married,secondary,yes,no,12159,yes,no,0,,,,
42,4,technician,60000,divorced,secondary,yes,no,3043,yes,yes,0,,,,
45,4,services,70000,single,secondary,yes,no,482,yes,yes,0,,,,
42,4,technician,60000,married,secondary,yes,no,4791,yes,no,0,,,,
53,5,management,100000,married,tertiary,yes,no,-601,yes,no,0,,,,
48,4,technician,60000,married,unknown,no,no,2005,yes,no,0,,,,
35,3,management,100000,single,tertiary,no,no,0,yes,no,0,,,,
32,3,admin.,50000,divorced,secondary,yes,no,-19,yes,no,0,,,,
35,3,management,100000,divorced,tertiary,no,no,3254,no,no,0,,,,
46,4,blue-collar,20000,married,primary,yes,no,-287,yes,no,0,,,,
48,4,services,70000,married,secondary,yes,no,7019,yes,no,0,,,,
31,3,technician,60000,divorced,secondary,yes,no,646,yes,no,0,,,,
28,2,management,100000,single,tertiary,no,no,0,yes,no,0,,,,
36,3,technician,60000,single,secondary,yes,no,4136,yes,no,1,,,,
31,3,management,100000,single,tertiary,no,no,453,yes,no,0,,,,
49,4,self-employed,60000,married,secondary,yes,no,2061,yes,yes,0,,,,
43,4,management,100000,married,tertiary,yes,no,19,yes,no,0,,,,
53,5,management,100000,married,tertiary,yes,no,1144,yes,no,0,,,,
35,3,blue-collar,20000,single,secondary,yes,no,-257,yes,no,0,,,,
31,3,technician,60000,divorced,secondary,yes,no,342,yes,no,0,,,,
39,3,technician,60000,married,unknown,no,no,839,no,no,0,,,,
41,4,services,70000,married,primary,yes,no,373,yes,no,0,,,,
56,5,management,100000,married,tertiary,yes,no,-45,yes,no,0,,,,
37,3,technician,60000,married,secondary,yes,no,1120,yes,no,0,,,,
37,3,technician,60000,married,secondary,yes,no,-403,yes,no,0,,,,
31,3,blue-collar,20000,single,secondary,yes,no,-219,yes,no,0,,,,
51,5,retired,55000,married,primary,yes,no,752,yes,no,0,,,,
25,2,management,100000,single,unknown,no,no,17,yes,no,0,,,,
53,5,services,70000,married,secondary,yes,no,2719,yes,no,0,,,,
53,5,blue-collar,20000,divorced,primary,yes,no,2656,yes,no,1,,,,
45,4,technician,60000,married,secondary,yes,no,2124,yes,no,0,,,,
36,3,management,100000,single,tertiary,no,no,2806,yes,no,0,,,,
53,5,technician,60000,single,secondary,yes,no,198,yes,yes,0,,,,
32,3,admin.,50000,married,secondary,yes,no,305,yes,no,0,,,,
41,4,technician,60000,married,secondary,yes,no,2990,yes,no,0,,,,
36,3,unemployed,8000,single,tertiary,no,no,1316,yes,no,0,,,,
36,3,management,100000,single,tertiary,no,no,548,yes,yes,0,,,,
27,2,services,70000,single,secondary,yes,no,2153,yes,no,0,,,,
36,3,admin.,50000,married,secondary,yes,no,1954,yes,yes,0,,,,
32,3,technician,60000,single,secondary,yes,no,562,yes,no,1,,,,
47,4,technician,60000,married,primary,yes,no,12531,yes,no,0,,,,
51,5,entrepreneur,120000,married,secondary,yes,no,0,no,no,0,,,,
38,3,management,100000,single,tertiary,no,no,126,yes,no,0,,,,
27,2,blue-collar,20000,married,primary,yes,no,106,yes,no,0,,,,
41,4,management,100000,divorced,secondary,yes,no,2666,yes,no,0,,,,
49,4,blue-collar,20000,married,secondary,yes,no,366,yes,yes,0,,,,
38,3,blue-collar,20000,married,primary,yes,no,580,yes,no,0,,,,
44,4,technician,60000,married,secondary,yes,no,0,yes,no,0,,,,
36,3,blue-collar,20000,married,secondary,yes,no,429,yes,no,0,,,,
55,5,technician,60000,married,secondary,yes,no,2760,yes,no,0,,,,
47,4,technician,60000,married,secondary,yes,no,1387,yes,no,0,,,,
48,4,blue-collar,20000,married,secondary,yes,no,1841,yes,no,0,,,,
27,2,technician,60000,single,secondary,yes,no,430,yes,yes,0,,,,
43,4,entrepreneur,120000,married,primary,yes,no,0,yes,no,0,,,,
40,4,management,100000,single,tertiary,no,no,402,yes,no,0,,,,
47,4,blue-collar,20000,married,unknown,no,no,61,yes,no,0,,,,
44,4,technician,60000,divorced,secondary,yes,no,752,yes,no,0,,,,
26,2,technician,60000,single,secondary,yes,no,174,yes,no,0,,,,
25,2,blue-collar,20000,single,secondary,yes,no,352,yes,no,0,,,,
55,5,admin.,50000,married,secondary,yes,no,420,yes,no,0,,,,
38,3,management,100000,married,tertiary,yes,no,49,no,no,0,,,,
38,3,services,70000,married,secondary,yes,no,-762,yes,yes,0,,,,
37,3,blue-collar,20000,married,primary,yes,no,461,yes,no,0,,,,
30,3,blue-collar,20000,married,secondary,yes,no,119,yes,no,0,,,,
44,4,blue-collar,20000,married,primary,yes,no,314,yes,no,0,,,,
35,3,management,100000,single,tertiary,no,no,687,yes,no,0,,,,
40,4,blue-collar,20000,married,secondary,yes,no,0,yes,no,0,,,,
30,3,services,70000,married,secondary,yes,yes,-849,yes,no,0,,,,
23,2,services,70000,single,tertiary,no,no,363,yes,no,0,,,,
46,4,management,100000,single,tertiary,no,no,2904,yes,no,1,,,,
32,3,blue-collar,20000,married,secondary,yes,no,1484,yes,no,0,,,,
38,3,blue-collar,20000,married,secondary,yes,no,602,yes,no,0,,,,
44,4,technician,60000,married,secondary,yes,no,596,yes,no,0,,,,
33,3,technician,60000,single,secondary,yes,no,268,yes,no,0,,,,
46,4,entrepreneur,120000,married,secondary,yes,no,1375,yes,no,0,,,,
32,3,management,100000,single,tertiary,no,no,127,yes,no,0,,,,
58,5,blue-collar,20000,married,secondary,yes,no,1025,yes,no,0,,,,
35,3,blue-collar,20000,married,secondary,yes,no,674,yes,no,0,,,,
50,5,admin.,50000,single,secondary,yes,no,692,yes,no,0,,,,
32,3,blue-collar,20000,single,secondary,yes,no,1036,yes,yes,0,,,,
40,4,technician,60000,divorced,secondary,yes,no,692,yes,no,0,,,,
30,3,technician,60000,married,secondary,yes,no,1,yes,no,0,,,,
31,3,management,100000,single,tertiary,no,yes,-365,yes,no,0,,,,
57,5,technician,60000,married,secondary,yes,no,16063,yes,no,0,,,,
26,2,management,100000,single,tertiary,no,no,1004,yes,no,1,,,,
36,3,technician,60000,divorced,secondary,yes,no,1285,no,no,0,,,,
35,3,blue-collar,20000,married,primary,yes,no,2708,yes,no,0,,,,
50,5,self-employed,60000,married,secondary,yes,no,-465,yes,no,0,,,,
41,4,admin.,50000,married,secondary,yes,no,8238,yes,yes,0,,,,
58,5,management,100000,married,primary,yes,no,320,yes,no,0,,,,
55,5,technician,60000,married,secondary,yes,no,0,yes,no,0,,,,
35,3,technician,60000,single,secondary,yes,no,1,no,no,0,,,,
27,2,services,70000,married,secondary,yes,no,271,yes,no,0,,,,
40,4,admin.,50000,married,secondary,yes,no,1538,yes,no,0,,,,
31,3,housemaid,16000,married,secondary,yes,no,1,yes,no,0,,,,
37,3,admin.,50000,single,unknown,no,no,179,no,no,0,,,,
51,5,retired,55000,divorced,secondary,yes,no,343,yes,no,0,,,,
52,5,blue-collar,20000,married,primary,yes,no,2439,yes,no,0,,,,
44,4,admin.,50000,single,secondary,yes,no,946,yes,no,0,,,,
27,2,management,100000,single,tertiary,no,no,2061,yes,no,0,,,,
45,4,entrepreneur,120000,married,secondary,yes,no,404,yes,no,0,,,,
54,5,blue-collar,20000,married,primary,yes,no,-636,yes,no,0,,,,
23,2,blue-collar,20000,single,secondary,yes,no,1690,yes,yes,0,,,,
59,5,admin.,50000,married,primary,yes,no,2532,yes,no,0,,,,
41,4,technician,60000,single,secondary,yes,no,568,yes,no,0,,,,
40,4,management,100000,married,primary,yes,no,472,yes,no,0,,,,
36,3,blue-collar,20000,married,secondary,yes,no,0,yes,no,0,,,,
42,4,technician,60000,single,secondary,yes,no,1037,yes,no,0,,,,
37,3,blue-collar,20000,married,primary,yes,no,157,yes,no,0,,,,
42,4,blue-collar,20000,married,secondary,yes,no,1958,yes,no,0,,,,
40,4,blue-collar,20000,married,primary,yes,no,3693,yes,no,0,,,,
42,4,technician,60000,divorced,secondary,yes,no,0,yes,no,0,,,,
32,3,blue-collar,20000,married,secondary,yes,no,501,yes,yes,0,,,,
23,2,blue-collar,20000,single,secondary,yes,no,5145,yes,no,0,,,,
31,3,technician,60000,single,secondary,yes,no,1771,yes,no,0,,,,
43,4,services,70000,married,secondary,yes,no,192,yes,yes,0,,,,
31,3,blue-collar,20000,married,primary,yes,no,292,yes,yes,0,,,,
29,2,services,70000,single,secondary,yes,no,193,yes,no,0,,,,
51,5,blue-collar,20000,divorced,secondary,yes,no,1069,yes,no,0,,,,
25,2,blue-collar,20000,single,primary,yes,no,155,yes,no,0,,,,
39,3,services,70000,single,secondary,yes,no,-189,yes,no,0,,,,
52,5,blue-collar,20000,single,unknown,no,no,905,yes,no,0,,,,
38,3,technician,60000,single,secondary,yes,no,-143,yes,no,0,,,,
37,3,self-employed,60000,married,secondary,yes,no,2260,yes,no,0,,,,
40,4,management,100000,married,tertiary,yes,no,211,yes,no,0,,,,
46,4,blue-collar,20000,single,secondary,yes,no,324,yes,no,0,,,,
38,3,unemployed,8000,divorced,secondary,yes,no,0,yes,no,0,,,,
56,5,admin.,50000,married,secondary,yes,no,346,yes,yes,0,,,,
55,5,admin.,50000,married,secondary,yes,no,139,yes,no,0,,,,
40,4,blue-collar,20000,married,primary,yes,no,303,no,no,0,,,,
51,5,management,100000,single,tertiary,no,no,0,yes,no,0,,,,
33,3,management,100000,divorced,tertiary,no,no,-1027,yes,no,0,,,,
45,4,technician,60000,single,secondary,yes,no,410,yes,no,1,,,,
55,5,technician,60000,divorced,tertiary,no,no,264,yes,no,0,,,,
31,3,unemployed,8000,divorced,primary,yes,no,0,yes,no,1,,,,
42,4,blue-collar,20000,married,secondary,yes,no,1307,yes,no,0,,,,
39,3,blue-collar,20000,married,unknown,no,no,157,yes,no,0,,,,
35,3,blue-collar,20000,married,primary,yes,no,3587,yes,no,0,,,,
32,3,self-employed,60000,married,secondary,yes,no,1942,yes,no,0,,,,
27,2,blue-collar,20000,single,secondary,yes,no,5563,yes,no,0,,,,
29,2,management,100000,single,tertiary,no,no,0,yes,no,1,,,,
31,3,blue-collar,20000,married,secondary,yes,no,1533,yes,no,0,,,,
36,3,blue-collar,20000,married,secondary,yes,no,71,yes,no,0,,,,
22,2,blue-collar,20000,single,secondary,yes,no,-189,yes,no,0,,,,
53,5,entrepreneur,120000,single,secondary,yes,no,62,yes,no,1,,,,
37,3,admin.,50000,married,secondary,yes,no,-47,yes,no,0,,,,
52,5,technician,60000,divorced,secondary,yes,no,137,yes,no,0,,,,
52,5,management,100000,divorced,tertiary,no,no,12,yes,no,0,,,,
49,4,services,70000,married,secondary,yes,no,486,yes,yes,0,,,,
35,3,technician,60000,single,secondary,yes,no,1609,yes,no,0,,,,
27,2,blue-collar,20000,single,primary,yes,no,-79,yes,no,0,,,,
48,4,management,100000,married,tertiary,yes,no,7867,yes,yes,0,,,,
39,3,blue-collar,20000,married,secondary,yes,no,123,yes,no,0,,,,
32,3,admin.,50000,married,secondary,yes,no,-540,yes,yes,0,,,,
51,5,blue-collar,20000,married,primary,yes,no,610,yes,yes,0,,,,
47,4,blue-collar,20000,married,primary,yes,no,1092,no,yes,0,,,,
59,5,management,100000,single,tertiary,no,no,266,yes,no,0,,,,
41,4,blue-collar,20000,married,primary,yes,no,0,yes,no,0,,,,
50,5,blue-collar,20000,married,secondary,yes,no,2641,yes,no,0,,,,
55,5,management,100000,married,tertiary,yes,no,1267,yes,no,0,,,,
26,2,housemaid,16000,single,secondary,yes,no,229,yes,no,0,,,,
53,5,blue-collar,20000,married,secondary,yes,no,1103,yes,yes,0,,,,
36,3,management,100000,married,tertiary,yes,no,2609,yes,no,0,,,,
54,5,blue-collar,20000,married,secondary,yes,no,3782,yes,no,0,,,,
39,3,management,100000,married,tertiary,yes,no,568,yes,yes,0,,,,
40,4,blue-collar,20000,married,primary,yes,no,68,yes,no,0,,,,
36,3,management,100000,married,secondary,yes,no,80,yes,no,0,,,,
32,3,admin.,50000,divorced,secondary,yes,no,-417,no,no,0,,,,
37,3,technician,60000,single,secondary,yes,no,2544,yes,no,0,,,,
54,5,blue-collar,20000,married,secondary,yes,no,5210,yes,yes,0,,,,
34,3,blue-collar,20000,married,primary,yes,no,905,yes,no,0,,,,
27,2,blue-collar,20000,married,primary,yes,no,416,yes,no,1,,,,
35,3,blue-collar,20000,single,tertiary,no,no,573,no,no,0,,,,
37,3,admin.,50000,divorced,secondary,yes,no,0,yes,no,0,,,,
41,4,blue-collar,20000,single,secondary,yes,no,304,yes,no,0,,,,
38,3,self-employed,60000,married,secondary,yes,no,-10,no,no,0,,,,
49,4,technician,60000,married,secondary,yes,no,6312,yes,no,0,,,,
59,5,management,100000,married,primary,yes,no,396,yes,no,0,,,,
44,4,services,70000,married,secondary,yes,no,26,yes,no,0,,,,
37,3,management,100000,married,tertiary,yes,no,34,yes,no,0,,,,
34,3,blue-collar,20000,married,primary,yes,no,147,yes,no,0,,,,
58,5,retired,55000,married,secondary,yes,no,25,yes,no,0,,,,
39,3,blue-collar,20000,married,secondary,yes,no,280,yes,no,0,,,,
40,4,technician,60000,married,secondary,yes,no,335,yes,no,0,,,,
33,3,technician,60000,single,secondary,yes,no,1994,yes,no,0,,,,
43,4,admin.,50000,divorced,secondary,yes,no,777,yes,no,0,,,,
43,4,entrepreneur,120000,married,secondary,yes,no,641,yes,yes,0,,,,
36,3,management,100000,single,tertiary,no,yes,-559,yes,no,0,,,,
31,3,admin.,50000,single,secondary,yes,no,17,yes,no,0,,,,
41,4,services,70000,married,secondary,yes,no,-141,yes,yes,0,,,,
47,4,services,70000,married,primary,yes,no,1095,no,yes,0,,,,
39,3,management,100000,married,tertiary,yes,no,177,yes,yes,0,,,,
56,5,blue-collar,20000,married,primary,yes,no,186,yes,no,0,,,,
50,5,management,100000,married,tertiary,yes,no,332,yes,no,0,,,,
42,4,admin.,50000,single,tertiary,no,no,519,yes,no,0,,,,
48,4,services,70000,married,primary,yes,yes,-583,yes,no,0,,,,
29,2,technician,60000,married,secondary,yes,no,1097,yes,no,0,,,,
37,3,blue-collar,20000,married,primary,yes,no,89,yes,no,0,,,,
31,3,technician,60000,single,tertiary,no,no,-167,yes,no,0,,,,
50,5,blue-collar,20000,divorced,secondary,yes,no,571,yes,no,0,,,,
36,3,management,100000,married,tertiary,yes,no,596,yes,no,0,,,,
27,2,blue-collar,20000,single,secondary,yes,no,535,yes,no,0,,,,
55,5,technician,60000,single,secondary,yes,no,3339,yes,no,0,,,,
39,3,management,100000,divorced,tertiary,no,no,2193,yes,yes,0,,,,
48,4,admin.,50000,divorced,secondary,yes,no,771,yes,no,0,,,,
49,4,technician,60000,divorced,secondary,yes,yes,-757,yes,yes,0,,,,
30,3,management,100000,single,secondary,yes,no,308,yes,yes,0,,,,
53,5,blue-collar,20000,married,primary,yes,no,256,yes,no,0,,,,
31,3,technician,60000,single,tertiary,no,no,3729,yes,no,0,,,,
43,4,admin.,50000,divorced,secondary,yes,no,15511,yes,no,0,,,,
43,4,management,100000,single,secondary,yes,no,1029,yes,no,0,,,,
48,4,blue-collar,20000,divorced,primary,yes,no,323,no,no,0,,,,
44,4,entrepreneur,120000,married,tertiary,yes,no,307,yes,no,0,,,,
39,3,technician,60000,married,secondary,yes,no,1965,yes,no,0,,,,
29,2,entrepreneur,120000,married,secondary,yes,no,291,yes,no,0,,,,
46,4,blue-collar,20000,married,primary,yes,no,938,yes,no,0,,,,
39,3,management,100000,married,tertiary,yes,no,756,yes,no,0,,,,
53,5,blue-collar,20000,married,primary,yes,no,1942,yes,no,0,,,,
40,4,admin.,50000,single,secondary,yes,no,2378,yes,no,0,,,,
52,5,blue-collar,20000,married,secondary,yes,no,0,no,no,0,,,,
48,4,management,100000,divorced,tertiary,no,no,5041,yes,no,0,,,,
50,5,management,100000,married,secondary,yes,no,628,no,yes,0,,,,
49,4,self-employed,60000,married,secondary,yes,no,294,yes,no,0,,,,
34,3,blue-collar,20000,married,secondary,yes,no,516,yes,yes,0,,,,
33,3,technician,60000,single,secondary,yes,no,-244,yes,no,0,,,,
39,3,management,100000,married,tertiary,yes,no,22,yes,no,0,,,,
49,4,entrepreneur,120000,married,tertiary,yes,no,18904,yes,no,0,,,,
40,4,blue-collar,20000,married,primary,yes,no,540,yes,no,0,,,,
38,3,technician,60000,single,secondary,yes,no,615,yes,no,0,,,,
24,2,management,100000,single,secondary,yes,no,86,no,no,0,,,,
39,3,blue-collar,20000,single,secondary,yes,no,4143,yes,yes,0,,,,
32,3,blue-collar,20000,married,secondary,yes,no,14,yes,no,0,,,,
39,3,management,100000,married,tertiary,yes,no,2763,yes,no,1,,,,
31,3,blue-collar,20000,married,secondary,yes,no,0,yes,no,0,,,,
34,3,admin.,50000,married,primary,yes,no,239,yes,no,0,,,,
36,3,services,70000,married,secondary,yes,no,2984,yes,no,1,,,,
46,4,blue-collar,20000,married,secondary,yes,no,3696,yes,no,0,,,,
59,5,retired,55000,divorced,tertiary,no,no,4,yes,no,0,,,,
32,3,management,100000,single,secondary,yes,no,249,yes,no,0,,,,
41,4,blue-collar,20000,married,primary,yes,no,143,yes,yes,1,,,,
31,3,blue-collar,20000,married,secondary,yes,no,191,yes,no,0,,,,
31,3,blue-collar,20000,married,secondary,yes,no,1358,yes,no,0,,,,
32,3,management,100000,single,unknown,no,no,3044,yes,no,0,,,,
38,3,blue-collar,20000,single,secondary,yes,no,4,yes,no,0,,,,
36,3,self-employed,60000,single,tertiary,no,no,3560,no,no,0,,,,
45,4,technician,60000,divorced,secondary,yes,no,1309,yes,no,0,,,,
35,3,admin.,50000,married,secondary,yes,no,-488,yes,no,0,,,,
35,3,services,70000,divorced,secondary,yes,no,440,yes,no,0,,,,
44,4,services,70000,married,secondary,yes,no,808,yes,no,0,,,,
39,3,admin.,50000,single,secondary,yes,no,2854,yes,no,0,,,,
36,3,blue-collar,20000,married,primary,yes,no,1244,yes,no,0,,,,
34,3,technician,60000,married,tertiary,yes,no,691,yes,yes,0,,,,
36,3,services,70000,married,primary,yes,no,0,yes,no,1,,,,
38,3,entrepreneur,120000,married,secondary,yes,no,3249,yes,no,0,,,,
45,4,services,70000,married,secondary,yes,no,759,yes,no,0,,,,
29,2,management,100000,single,tertiary,no,no,144,yes,no,0,,,,
39,3,services,70000,divorced,secondary,yes,no,892,yes,no,0,,,,
32,3,services,70000,married,secondary,yes,no,109,yes,no,0,,,,
35,3,housemaid,16000,single,tertiary,no,no,608,yes,yes,0,,,,
51,5,admin.,50000,married,secondary,yes,no,1415,yes,no,0,,,,
35,3,blue-collar,20000,married,secondary,yes,no,314,yes,no,0,,,,
57,5,retired,55000,married,primary,yes,yes,-1480,yes,no,0,,,,
32,3,technician,60000,married,secondary,yes,no,0,no,no,0,,,,
34,3,admin.,50000,married,secondary,yes,no,3487,yes,no,0,,,,
32,3,entrepreneur,120000,married,primary,yes,no,56,no,no,0,,,,
33,3,technician,60000,single,secondary,yes,no,374,yes,yes,0,,,,
38,3,blue-collar,20000,married,primary,yes,no,451,yes,no,0,,,,
37,3,services,70000,married,secondary,yes,no,741,yes,no,0,,,,
31,3,unemployed,8000,single,secondary,yes,no,8,yes,no,0,,,,
55,5,retired,55000,married,secondary,yes,no,3948,no,no,0,,,,
33,3,blue-collar,20000,single,secondary,yes,no,231,yes,no,0,,,,
31,3,blue-collar,20000,single,primary,yes,no,859,yes,no,0,,,,
39,3,blue-collar,20000,married,primary,yes,no,1802,yes,no,0,,,,
31,3,blue-collar,20000,married,primary,yes,no,298,yes,yes,0,,,,
42,4,technician,60000,married,secondary,yes,no,3472,yes,no,0,,,,
28,2,admin.,50000,single,secondary,yes,no,1076,yes,no,0,,,,
30,3,management,100000,married,tertiary,yes,no,732,yes,no,0,,,,
33,3,management,100000,divorced,secondary,yes,no,1897,yes,yes,0,,,,
50,5,blue-collar,20000,married,secondary,yes,no,1985,yes,no,0,,,,
36,3,blue-collar,20000,married,primary,yes,no,1861,yes,no,0,,,,
32,3,management,100000,single,tertiary,no,no,3237,yes,no,0,,,,
36,3,technician,60000,single,secondary,yes,no,1614,yes,no,0,,,,
31,3,blue-collar,20000,married,secondary,yes,no,-45,yes,no,0,,,,
33,3,services,70000,married,secondary,yes,no,847,yes,no,0,,,,
35,3,management,100000,married,secondary,yes,no,1825,yes,no,0,,,,
29,2,technician,60000,married,secondary,yes,no,493,yes,yes,0,,,,
35,3,blue-collar,20000,married,secondary,yes,no,80,yes,yes,0,,,,
27,2,self-employed,60000,single,tertiary,no,no,1237,yes,yes,0,,,,
31,3,blue-collar,20000,married,secondary,yes,no,3659,no,no,0,,,,
32,3,management,100000,single,tertiary,no,no,1834,yes,no,0,,,,
44,4,entrepreneur,120000,divorced,secondary,yes,no,-143,yes,no,0,,,,
30,3,blue-collar,20000,married,secondary,yes,no,360,yes,yes,0,,,,
35,3,technician,60000,single,tertiary,no,no,1104,yes,yes,0,,,,
38,3,blue-collar,20000,single,primary,yes,no,522,yes,no,0,,,,
38,3,blue-collar,20000,married,primary,yes,no,6843,no,no,0,,,,
37,3,unemployed,8000,single,secondary,yes,no,756,yes,no,0,,,,
39,3,management,100000,single,tertiary,no,no,1682,yes,no,0,,,,
38,3,management,100000,single,tertiary,no,no,900,yes,no,0,,,,
36,3,blue-collar,20000,married,secondary,yes,no,426,yes,no,0,,,,
51,5,management,100000,divorced,tertiary,no,no,6,no,no,0,,,,
32,3,technician,60000,married,secondary,yes,no,696,yes,no,1,,,,
32,3,blue-collar,20000,single,primary,yes,no,2507,yes,no,0,,,,
35,3,services,70000,married,secondary,yes,no,152,yes,no,1,,,,
31,3,entrepreneur,120000,single,tertiary,no,no,247,yes,yes,0,,,,
31,3,admin.,50000,single,tertiary,no,no,7505,yes,yes,0,,,,
31,3,blue-collar,20000,single,secondary,yes,no,4415,yes,no,0,,,,
30,3,blue-collar,20000,married,primary,yes,no,4,yes,no,0,,,,
33,3,management,100000,married,tertiary,yes,no,0,yes,no,0,,,,
31,3,management,100000,single,tertiary,no,no,1475,yes,yes,0,,,,
34,3,blue-collar,20000,married,primary,yes,no,-20,yes,no,0,,,,
37,3,blue-collar,20000,married,primary,yes,no,3574,yes,no,0,,,,
31,3,admin.,50000,married,secondary,yes,no,717,yes,no,0,,,,
30,3,technician,60000,single,secondary,yes,no,518,yes,no,0,,,,
37,3,blue-collar,20000,married,primary,yes,no,1720,yes,no,0,,,,
35,3,services,70000,married,secondary,yes,no,5029,yes,yes,0,,,,
33,3,blue-collar,20000,married,secondary,yes,no,395,yes,no,0,,,,
33,3,blue-collar,20000,married,primary,yes,no,3868,yes,no,0,,,,
31,3,blue-collar,20000,single,secondary,yes,no,334,yes,yes,0,,,,
30,3,self-employed,60000,single,tertiary,no,no,578,yes,no,0,,,,
37,3,technician,60000,married,secondary,yes,no,410,yes,yes,0,,,,
35,3,management,100000,single,tertiary,no,no,0,yes,no,0,,,,
33,3,technician,60000,single,secondary,yes,no,77,yes,yes,0,,,,
41,4,blue-collar,20000,married,secondary,yes,no,114,yes,no,0,,,,
46,4,services,70000,married,secondary,yes,no,4780,yes,no,0,,,,
34,3,management,100000,single,tertiary,no,no,0,yes,no,0,,,,
38,3,blue-collar,20000,married,secondary,yes,no,502,yes,no,0,,,,
41,4,services,70000,married,secondary,yes,no,1027,yes,no,0,,,,
30,3,blue-collar,20000,married,secondary,yes,no,579,yes,yes,0,,,,
60,6,self-employed,60000,single,secondary,yes,no,312,yes,no,0,,,,
33,3,management,100000,divorced,tertiary,no,no,166,yes,no,0,,,,
55,5,blue-collar,20000,single,primary,yes,no,1187,yes,no,0,,,,
32,3,technician,60000,married,secondary,yes,no,1242,yes,no,0,,,,
31,3,technician,60000,married,tertiary,yes,no,15,no,no,0,,,,
34,3,self-employed,60000,single,tertiary,no,no,72,yes,no,0,,,,
37,3,blue-collar,20000,married,secondary,yes,no,489,yes,no,0,,,,
35,3,admin.,50000,married,secondary,yes,no,1098,yes,yes,0,,,,
40,4,technician,60000,married,secondary,yes,yes,34,yes,no,0,,,,
32,3,technician,60000,single,tertiary,no,no,257,yes,no,0,,,,
60,6,retired,55000,divorced,tertiary,no,no,-79,yes,no,0,,,,
31,3,management,100000,single,tertiary,no,no,684,yes,yes,0,,,,
33,3,services,70000,married,secondary,yes,no,109,yes,no,0,,,,
37,3,blue-collar,20000,single,secondary,yes,no,3561,yes,no,0,,,,
56,5,retired,55000,married,secondary,yes,no,-1,yes,no,0,,,,
29,2,admin.,50000,single,secondary,yes,no,2768,yes,no,0,,,,
42,4,blue-collar,20000,married,secondary,yes,no,-21,no,no,0,,,,
32,3,technician,60000,divorced,secondary,yes,no,-399,yes,no,0,,,,
61,6,retired,55000,married,primary,yes,no,-156,yes,yes,0,,,,
42,4,blue-collar,20000,married,secondary,yes,no,-755,yes,yes,0,,,,
40,4,services,70000,married,secondary,yes,no,-80,yes,no,0,,,,
31,3,technician,60000,single,tertiary,no,no,932,yes,no,0,,,,
34,3,blue-collar,20000,married,secondary,yes,no,-304,yes,yes,0,,,,
30,3,admin.,50000,married,secondary,yes,no,667,yes,no,0,,,,
34,3,self-employed,60000,married,primary,yes,no,712,yes,no,0,,,,
35,3,blue-collar,20000,married,secondary,yes,no,1088,yes,no,0,,,,
27,2,services,70000,single,secondary,yes,no,1,yes,yes,0,,,,
53,5,self-employed,60000,married,tertiary,yes,no,1907,yes,no,0,,,,
29,2,admin.,50000,single,secondary,yes,no,315,yes,no,0,,,,
36,3,management,100000,single,tertiary,no,no,-78,yes,no,1,,,,
26,2,blue-collar,20000,single,secondary,yes,no,539,yes,no,0,,,,
35,3,management,100000,married,tertiary,yes,no,1193,yes,no,0,,,,
33,3,blue-collar,20000,single,secondary,yes,no,213,yes,no,0,,,,
44,4,admin.,50000,married,secondary,yes,no,238,yes,yes,0,,,,
34,3,blue-collar,20000,divorced,secondary,yes,no,336,yes,no,0,,,,
30,3,student,4000,single,unknown,no,no,809,no,no,0,,,,
60,6,entrepreneur,120000,married,secondary,yes,no,2525,yes,no,0,,,,
32,3,housemaid,16000,married,tertiary,yes,no,10,yes,no,0,,,,
59,5,admin.,50000,divorced,secondary,yes,no,3304,yes,no,0,,,,
40,4,blue-collar,20000,married,primary,yes,no,98,yes,no,0,,,,
34,3,technician,60000,single,secondary,yes,no,399,yes,no,0,,,,
31,3,admin.,50000,married,secondary,yes,no,-581,yes,no,0,,,,
52,5,management,100000,married,secondary,yes,no,218,yes,no,0,,,,
